epoch,acc_epoch,train_loss,val_loss
0,0.8778703703703704,0.34865832,0.32743338
1,0.8833024691358025,0.1757608,0.32452703
2,0.91125,0.06617845,0.24040404
3,0.90625,0.46200392,0.2485699
4,0.9206790123456791,0.14158931,0.2120425
5,0.910108024691358,0.3592216,0.24093099
6,0.884320987654321,0.20469713,0.30933264
7,0.9202469135802469,0.06737522,0.21419835
8,0.9281635802469136,0.19215485,0.19622664
9,0.9116358024691358,0.14114185,0.24658684
10,0.9268055555555555,0.0723291,0.20010866
11,0.9199382716049382,0.14696454,0.21881774
12,0.9261265432098765,0.15723601,0.20496687
13,0.9228549382716049,0.20795384,0.20839265
14,0.9271450617283951,0.14068322,0.19664618
15,0.9243518518518519,0.16946022,0.20727552
16,0.9262808641975309,0.3846436,0.20406398
17,0.9267438271604939,0.15017244,0.20007102
18,0.9301851851851852,0.053656638,0.19378261
19,0.9208179012345679,0.10350433,0.22006185
