epoch,acc_epoch,train_loss,val_loss
0,0.9027932098765432,0.29657927,0.2580991
1,0.9154475308641975,0.1286728,0.23078044
2,0.9192746913580246,0.083753414,0.219481
3,0.9139197530864197,0.19025362,0.24113837
4,0.9262037037037038,0.104210526,0.20591974
5,0.921466049382716,0.16477634,0.216988
6,0.920570987654321,0.10958166,0.21709275
7,0.9233796296296296,0.04734316,0.2102463
8,0.9209567901234568,0.13492757,0.21188934
9,0.9257407407407408,0.15209883,0.20724869
10,0.9233641975308642,0.07307535,0.21282327
11,0.9238888888888889,0.085880026,0.2063588
12,0.9244444444444444,0.17529002,0.20936935
13,0.9234722222222222,0.4108505,0.21170487
14,0.9239506172839507,0.14929871,0.2069683
15,0.9165586419753087,0.1450275,0.23073687
16,0.9240277777777778,0.29679438,0.20993067
17,0.921003086419753,0.2072505,0.21795341
18,0.9248611111111111,0.02946356,0.20820567
19,0.9259104938271605,0.19892538,0.2098209
