epoch,acc_epoch,train_loss,val_loss
0,0.8827160493827161,0.32049343,0.31269577
1,0.9014197530864198,0.13562907,0.27916634
2,0.9200462962962963,0.14224455,0.2171547
3,0.9227777777777778,0.28057608,0.20977618
4,0.9241512345679013,0.24208234,0.20626345
5,0.9264043209876544,0.19702263,0.20424642
6,0.9234259259259259,0.054823693,0.21773486
7,0.9188425925925926,0.4410971,0.22825392
8,0.9218518518518518,0.34924006,0.2135777
9,0.9263734567901235,0.1450033,0.20475696
10,0.9239660493827161,0.35687014,0.21249558
11,0.925,0.34724057,0.20637493
12,0.9203703703703704,0.21732703,0.22305247
13,0.9234259259259259,0.25648844,0.2122673
14,0.9186265432098766,0.2339344,0.223608
15,0.9221296296296296,0.42323375,0.21700428
16,0.9236728395061728,0.21406235,0.21016918
17,0.919320987654321,0.24658576,0.22301576
18,0.9192592592592592,0.23734677,0.22037424
19,0.9188888888888889,0.33562493,0.22169326
