epoch,acc_epoch,train_loss,val_loss
0,0.8995833333333333,0.20159082,0.2730067
1,0.9046296296296297,0.12250429,0.26086727
2,0.9132407407407407,0.29458067,0.23191342
3,0.9185185185185185,0.25914657,0.2223361
4,0.9169598765432099,0.14718126,0.21826412
5,0.9215586419753087,0.09522061,0.20955908
6,0.920354938271605,0.5058082,0.21540557
7,0.9170216049382716,0.2202505,0.22316249
8,0.8758024691358025,0.44698066,0.36563808
9,0.9253703703703704,0.3330491,0.20680775
10,0.9263117283950617,0.1765675,0.20057093
11,0.9285030864197531,0.16593538,0.19573717
12,0.9204629629629629,0.545988,0.21606688
13,0.9240123456790124,0.31764323,0.20817174
14,0.9280092592592593,0.20064235,0.1952884
15,0.9274228395061729,0.1253702,0.19982536
16,0.9195524691358025,0.27354226,0.22692424
17,0.921604938271605,0.14686778,0.22005117
18,0.921712962962963,0.2333155,0.21671142
19,0.9210493827160494,0.20661217,0.21736753
