epoch,acc_epoch,train_loss,val_loss
0,0.8959876543209877,0.15226513,0.29014564
1,0.9106018518518518,0.09200725,0.241088
2,0.9131018518518519,0.1702154,0.23234972
3,0.9147222222222222,0.2966347,0.23313884
4,0.9137962962962963,0.14479773,0.23384061
5,0.9184567901234568,0.18778539,0.22485957
6,0.9230401234567901,0.55821043,0.20794699
7,0.9254475308641975,0.13469963,0.20453829
8,0.92125,0.21516222,0.21620116
9,0.9170061728395061,0.46184295,0.23193565
10,0.9223302469135802,0.2889636,0.21482886
11,0.9210493827160494,0.4493919,0.21822678
12,0.9236574074074074,0.3675766,0.20618086
13,0.9180709876543209,0.26962778,0.22320487
14,0.9217592592592593,0.06723664,0.20999649
15,0.9206018518518518,0.22841057,0.21329336
16,0.9152777777777777,0.3593191,0.2380626
17,0.9219444444444445,0.07978066,0.2228028
18,0.9233796296296296,0.20722622,0.21052003
19,0.9139351851851852,0.15401934,0.23606567
