epoch,acc_epoch,train_loss,val_loss
0,0.20023148148148148,1.6081986,1.6097898
1,0.20023148148148148,1.611512,1.609756
2,0.19753086419753085,1.61014,1.6097698
3,0.20038580246913582,1.6049086,1.6099807
4,0.20038580246913582,1.6113588,1.6096413
5,0.20023148148148148,1.6095409,1.6102881
6,0.20023148148148148,1.6023235,1.6096544
7,0.20023148148148148,1.6049026,1.6092068
8,0.19753086419753085,1.6021495,1.6096488
9,0.20038580246913582,1.5971258,1.610405
10,0.20038580246913582,1.611187,1.6105986
11,0.20038580246913582,1.6089857,1.6107992
12,0.2008179012345679,1.6132284,1.6101196
13,0.2008179012345679,1.6047946,1.6104671
14,0.2008179012345679,1.6126604,1.610525
15,0.20023148148148148,1.6139716,1.610433
16,0.2008179012345679,1.6213199,1.6103891
17,0.19753086419753085,1.6092799,1.6093156
18,0.20103395061728396,1.5964437,1.6102861
19,0.2008179012345679,1.6128479,1.6101242
