epoch,acc_epoch,train_loss,val_loss
0,0.20038580246913582,1.6121621,1.6094979
1,0.19753086419753085,1.6040382,1.6117043
2,0.2008179012345679,1.6187371,1.6103323
3,0.20038580246913582,1.611522,1.6113075
4,0.2008179012345679,1.6033148,1.609669
5,0.20103395061728396,1.5988975,1.6098036
6,0.20023148148148148,1.6004066,1.610547
7,0.20103395061728396,1.6024417,1.6122327
8,0.20023148148148148,1.6162999,1.611278
9,0.2008179012345679,1.6148332,1.6093993
10,0.19753086419753085,1.6168108,1.6120499
11,0.20038580246913582,1.6155595,1.610395
12,0.2008179012345679,1.5997403,1.6111821
13,0.2008179012345679,1.6123414,1.6099148
14,0.20038580246913582,1.6107616,1.6108513
15,0.2008179012345679,1.6053692,1.6100293
16,0.20023148148148148,1.6153109,1.609639
17,0.20023148148148148,1.6142888,1.6094232
18,0.2008179012345679,1.6047161,1.6108835
19,0.2008179012345679,1.602266,1.6118329
