epoch,acc_epoch,train_loss,val_loss
0,0.9051851851851852,0.22080046,0.257485
1,0.9161728395061728,0.32061505,0.22360457
2,0.9176851851851852,0.10017067,0.22012255
3,0.9243827160493827,0.34742355,0.20880978
4,0.9196604938271605,0.1917692,0.2131345
5,0.9261574074074074,0.15902524,0.19668369
6,0.9241975308641975,0.3086405,0.20613112
7,0.926003086419753,0.12527008,0.2021031
8,0.9283333333333333,0.06936866,0.19593611
9,0.9280092592592593,0.16402566,0.19687243
10,0.9295679012345679,0.26099023,0.19275124
11,0.9314351851851852,0.059988305,0.19063902
12,0.9280246913580247,0.11607689,0.1998612
13,0.9306481481481481,0.37680423,0.19160773
14,0.9306172839506173,0.26563156,0.19251828
15,0.9247222222222222,0.20071954,0.20605902
16,0.9261265432098765,0.11211203,0.20363508
17,0.9268518518518518,0.12167139,0.20188694
18,0.9232098765432099,0.11888847,0.21136393
19,0.9179783950617284,0.1627793,0.22927286
