epoch,acc_epoch,train_loss,val_loss
0,0.8699074074074075,0.43579358,0.34592035
1,0.889783950617284,0.19880301,0.2902557
2,0.9087962962962963,0.33351538,0.24753387
3,0.9110185185185186,0.20632158,0.23562354
4,0.8948765432098765,0.24660008,0.28673312
5,0.9185956790123457,0.32376224,0.2204777
6,0.9237191358024691,0.0852483,0.20558806
7,0.9219753086419753,0.19972809,0.20895304
8,0.9204783950617283,0.19189607,0.22106312
9,0.9265277777777777,0.26271856,0.19757892
10,0.9253703703703704,0.29541472,0.20431063
11,0.9209722222222222,0.16648504,0.21367674
12,0.9287037037037037,0.33717757,0.19693252
13,0.9195679012345679,0.21711624,0.21990298
14,0.925570987654321,0.07882785,0.20027566
15,0.9254012345679012,0.10629623,0.2018172
16,0.928179012345679,0.13388513,0.19767617
17,0.9315432098765432,0.12220319,0.18866223
18,0.9221759259259259,0.13110939,0.21285354
19,0.9200617283950617,0.085688606,0.22117054
